"","ID","Strain","Age","Weight","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","X","Age.dpc.","Date","Strain","Weight","Litter","Weekday","indata","mediantemps","bornemin","bornemax","nid"
"132","shh_13.5_06_101_DQ","DUHi",13.5,101,"DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"101DQ",31,13.5,"7/30/2014","DUHi",101,"DQ",4,TRUE,13.581,13.084,14.056,"101DQ"
"220","shh_13.0_06_102_FX","FVB",13,102,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"102FX",281,13,"05/12/15","FVB",102,"FX",3,TRUE,13.091,12.559,13.585,"102FX"
"128","shh_14.0_21_105_DF","DUHi",14,105,"DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105DF",63,14,"7/17/2014","DUHi",105,"DF",5,TRUE,13.651,13.19,14.1,"105DF"
"14","shh_13.5_10_105_FK","FVB",13.5,105,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105FK",298,13.5,"12/10/14","FVB",105,"FK",4,TRUE,13.62,13.106,14.149,"105FK"
"187","shh_13.5_13_107_DZ","DUHi",13.5,107,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"107DZ",38,13.5,"11/19/2014","DUHi",107,"DZ",4,TRUE,13.455,13.012,13.923,"107DZ"
"221","shh_13.0_07_108_FX","FVB",13,108,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"108FX",283,13,"05/12/15","FVB",108,"FX",3,TRUE,13.197,12.679,13.727,"108FX"
"129","shh_13.5_06_109_FI","FVB",13.5,109,"FI",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"109FI",661,13.5,"10/17/2014","FVB",109,"FI",6,TRUE,13.423,12.896,13.972,"109FI"
"8","shh_13.5_10_110_DZ","DUHi",13.5,110,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"110DZ",40,13.5,"11/19/2014","DUHi",110,"DZ",4,TRUE,13.506,13.042,13.937,"110DZ"
"222","shh_13.5_14_112_FV","FVB",13.5,112,"FV",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"112FV",320,13.5,"4/30/2015","FVB",112,"FV",5,TRUE,13.229,12.711,13.741,"112FV"
"117","shh_14.0_13_113_DU","DUHi",14,113,"DU",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"113DU",83,14,"10/14/2014","DUHi",113,"DU",3,TRUE,13.841,13.406,14.272,"113DU"
"6","shh_14.0_06_117_DR","DUHi",14,117,"DR",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"117DR",72,14,"7/30/2014","DUHi",117,"DR",4,TRUE,13.635,13.133,14.128,"117DR"
