	Age(dpc)	Date	Strain	Weight	Litter	Weekday
1	13	5/12/2015	FVB	85	FX	3
2	13	5/12/2015	FVB	86	FX	3
3	13	5/12/2015	FVB	87	FX	3
4	13	5/12/2015	FVB	90	FX	3
5	13	5/12/2015	FVB	91	FX	3
6	13	5/12/2015	FVB	100	FX	3
7	13	5/12/2015	FVB	102	FX	3
8	13	5/12/2015	FVB	105	FX	3
9	13	5/12/2015	FVB	108	FX	3
10	13	5/12/2015	FVB	115	FX	3
11	13.5	7/17/2014	FVB	124	FA	5
12	13.5	7/17/2014	FVB	125	FA	5
13	13.5	7/17/2014	FVB	127	FA	5
14	13.5	7/17/2014	FVB	128	FA	5
15	13.5	7/17/2014	FVB	131	FA	5
16	13.5	7/17/2014	FVB	143	FA	5
17	13.5	7/17/2014	FVB	146	FA	5
18	13.5	12/10/2014	FVB	85	FK	4
19	13.5	12/10/2014	FVB	88	FK	4
20	13.5	12/10/2014	FVB	93	FK	4
21	13.5	12/10/2014	FVB	94	FK	4
22	13.5	12/10/2014	FVB	95	FK	4
23	13.5	12/10/2014	FVB	101	FK	4
24	13.5	12/10/2014	FVB	105	FK	4
25	13.5	12/10/2014	FVB	106	FK	4
26	13.5	1/28/2015	FVB	68	FM	4
27	13.5	1/28/2015	FVB	90	FM	4
28	13.5	1/28/2015	FVB	97	FM	4
29	13.5	2/10/2015	FVB	74	FN	3
30	13.5	2/10/2015	FVB	85	FN	3
31	13.5	2/10/2015	FVB	91	FN	3
32	13.5	4/29/2015	FVB	120	FT	4
33	13.5	4/29/2015	FVB	130	FT	4
34	13.5	4/29/2015	FVB	131	FT	4
35	13.5	4/29/2015	FVB	133	FT	4
36	13.5	4/29/2015	FVB	136	FT	4
37	13.5	4/29/2015	FVB	139	FT	4
38	13.5	4/29/2015	FVB	137	FT	4
39	13.5	4/29/2015	FVB	115	FU	4
40	13.5	4/29/2015	FVB	128	FU	4
41	13.5	4/29/2015	FVB	129	FU	4
42	13.5	4/29/2015	FVB	133	FU	4
43	13.5	4/29/2015	FVB	134	FU	4
44	13.5	4/29/2015	FVB	136	FU	4
45	13.5	4/29/2015	FVB	143	FU	4
46	13.5	4/30/2015	FVB	112	FV	5
47	13.5	4/30/2015	FVB	117	FV	5
48	13.5	4/30/2015	FVB	126	FV	5
49	13.5	4/30/2015	FVB	127	FV	5
50	13.5	4/30/2015	FVB	132	FV	5
51	13.5	4/30/2015	FVB	135	FV	5
52	13.5	4/30/2015	FVB	137	FV	5
53	13.5	4/30/2015	FVB	138	FV	5
54	13.5	5/13/2015	FVB	126	FY	4
55	13.5	5/13/2015	FVB	135	FY	4
56	13.5	5/13/2015	FVB	136	FY	4
57	13.5	5/13/2015	FVB	139	FY	4
58	13.5	5/13/2015	FVB	144	FY	4
59	13.5	5/13/2015	FVB	145	FY	4
60	13.5	5/13/2015	FVB	151	FY	4
61	13.5	5/13/2015	FVB	154	FY	4
62	14	5/28/2015	FVB	111	FAB	5
63	14	5/28/2015	FVB	122	FAB	5
64	14	5/28/2015	FVB	131	FAB	5
65	14	5/28/2015	FVB	132	FAB	5
66	14	5/28/2015	FVB	139	FAB	5
67	14	5/28/2015	FVB	148	FAB	5
68	14	5/28/2015	FVB	150	FAB	5
69	14	5/28/2015	FVB	154	FAB	5
70	14	5/28/2015	FVB	155	FAB	5
71	14	5/28/2015	FVB	167	FAB	5
72	14	02/04/16	FVB	236	FAM	7
73	14	02/04/16	FVB	251	FAM	7
74	14	02/04/16	FVB	261	FAM	7
75	14	02/04/16	FVB	262	FAM	7
76	14	03/09/16	FVB	129	FAP	7
77	14	03/09/16	FVB	144	FAP	7
78	14	03/09/16	FVB	146	FAP	7
79	14	03/09/16	FVB	147	FAP	7
80	14	03/09/16	FVB	151	FAP	7
81	14	03/09/16	FVB	160	FAP	7
82	14	03/09/16	FVB	162	FAP	7
83	14	03/09/16	FVB	163	FAP	7
84	14	03/09/16	FVB	169	FAP	7
85	14	03/10/16	FVB	145	FAQ	2
86	14	03/10/16	FVB	150	FAQ	2
87	14	03/10/16	FVB	155	FAQ	2
88	14	03/10/16	FVB	159	FAQ	2
89	14	03/10/16	FVB	163	FAQ	2
90	14	03/10/16	FVB	167	FAQ	2
91	14	03/10/16	FVB	174	FAQ	2
92	14	03/10/16	FVB	175	FAQ	2
93	14	5/6/2014	FVB	171	FB	3
94	14	5/6/2014	FVB	175	FB	3
95	14	5/6/2014	FVB	177	FB	3
96	14	5/6/2014	FVB	178	FB	3
97	14	5/6/2014	FVB	178	FB	3
98	14	5/6/2014	FVB	163	FB	3
99	14	5/6/2014	FVB	163	FB	3
100	14	5/6/2014	FVB	165	FB	3
101	14	5/6/2014	FVB	167	FB	3
102	14	5/6/2014	FVB	150	FB	3
103	14	12/8/2014	FVB	130	FJ	2
104	14	12/8/2014	FVB	133	FJ	2
105	14	12/8/2014	FVB	141	FJ	2
106	14	12/8/2014	FVB	148	FJ	2
107	14	12/8/2014	FVB	152	FJ	2
108	14	12/8/2014	FVB	159	FJ	2
109	14.5	10/7/2015	FVB	262	FAE	4
110	14.5	10/7/2015	FVB	287	FAE	4
111	14.5	10/7/2015	FVB	288	FAE	4
112	14.5	10/7/2015	FVB	315	FAE	4
113	14.5	10/7/2015	FVB	316	FAE	4
114	14.5	10/7/2015	FVB	323	FAE	4
115	14.5	10/7/2015	FVB	328	FAE	4
116	14.5	10/7/2015	FVB	333	FAE	4
117	14.5	03/17/16	FVB	285	FAS	5
118	14.5	03/17/16	FVB	352	FAS	5
119	14.5	03/17/16	FVB	363	FAS	5
120	14.5	03/17/16	FVB	285	FAS	5
