,ID,Strain,Age,Weight,mediantemps,Date,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
40,shh_13.5_01_101-104_DB,DUHi,13.5,102.5,13.129,1/20/2014,DB,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,102.5DB
2,shh_13.5_02_154-165_DB,DUHi,13.5,159.5,13.88,1/20/2014,DB,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,159.5DB
92,shh_13.5_03_123-130_DB,DUHi,13.5,126.5,13.49,1/20/2014,DB,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,126.5DB
114,shh_13.5_04_111-117_DB,DUHi,13.5,114,13.3,1/20/2014,DB,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,114DB
149,shh_13.5_07_72_DC,DUHi,13.5,72,13.03,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,72DC
154,shh_13.5_08_111_DC,DUHi,13.5,111,13.769,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,111DC
11,shh_13.5_12_156_DZ,DUHi,13.5,156,13.863,1/20/2014,DZ,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,156DZ
17,shh_13.5_13_126_FK,FVB,13.5,126,13.46,4/30/2015,FK,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,126FK
210,shh_13.5_14_89_DC,DUHi,13.5,89,13.375,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,89DC
211,shh_13.5_16_95_DC,DUHi,13.5,95,13.464,7/30/2014,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,95DC
177,shh_14.0_02_171-178_FB,FVB,14,174.5,14.073,05/06/14,FB,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,174.5FB
160,shh_14.0_05_171-178_FB,FVB,14,174.5,14.026,05/06/14,FB,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,Y,199,174.5FB
87,shh_14.0_05_220_DE,DUHi,14,220,14.695,03/04/14,DE,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,220DE
180,shh_14.0_06_171-178_FB,FVB,14,174.5,14.1,05/06/14,FB,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,174.5FB
137,shh_14.5_02_193-197_FC,FVB,14.5,195,14.438,4/23/14,FC,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,195FC
143,shh_14.5_03_199-207_FC,FVB,14.5,203,14.478,4/23/14,FC,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,203FC
144,shh_14.5_04_199-207_FC,FVB,14.5,203,14.532,4/23/14,FC,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,203FC
110,shh_14.5_04_255-256_DG,DUHi,14.5,255.5,14.725,12/17/2013,DG,1,2,0,1,0,1,1_2_1_1,227_1_2_1_1,-,227,255.5DG
174,shh_14.5_05_187_DP,DUHi,14.5,187,14.341,1/22/2014,DP,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,187DP
145,shh_14.5_05_199-207_FC,FVB,14.5,203,14.551,4/23/14,FC,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,203FC
79,shh_14.5_06_287_DP,DUHi,14.5,287,14.922,03/04/14,DP,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,-,325,287DP
86,shh_14.5_12_196-199_DH,DUHi,14.5,197.5,14.331,1/22/2014,DH,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,-,202,197.5DH
72,shh_14.5_13_211-216_DH,DUHi,14.5,213.5,14.475,1/22/2014,DH,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,213.5DH
90,shh_14.5_15_209-216_DG,DUHi,14.5,212.5,14.396,12/17/2013,DG,1,1,0,1,0,1,1_1_1_1,202_1_1_1_1,Y,202,212.5DG
31,shh_14.5_17_237-241_DH,DUHi,14.5,239,14.663,1/22/2014,DH,0,2,0,1,0,1,0_2_1_1,227_0_2_1_1,Y,227,239DH
229,shh_14.5_31_203_FZ,FVB,14.5,203,14.478,13/5/15,FZ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,203FZ
231,shh_14.5_33_208_FZ,FVB,14.5,208,14.548,13/5/15,FZ,0,1,0,1,0,1,0_1_1_1,199_0_1_1_1,-,199,208FZ
234,shh_14.5_37_226_FQ,FVB,14.5,226,14.876,2/26/2015,FQ,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,y,325,226FQ
107,shh_15.0_01_234_FD,FVB,15,234,14.707,4/23/14,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,234FD
108,shh_15.0_02_246_FD,FVB,15,246,14.992,4/23/14,FD,0,2,0,2,0,1,0_2_2_1,325_0_2_2_1,Y,325,246FD
111,shh_15.0_04_217-218_DJ,DUHi,15,217.5,15.05,1/30/2014,DJ,1,2,0,1,0,1,1_2_1_1,227_1_2_1_1,-,227,217.5DJ
36,shh_15.0_07_234_DK,DUHi,15,234,14.797,9/18/2014,DK,1,2,0,2,0,1,1_2_2_1,235_1_2_2_1,-,235,234DK
30,shh_15.0_10_242_DK,DUHi,15,242,14.884,9/18/2014,DK,0,2,0,1,1,1,0_2_1_1,227_0_2_1_1,-,227,242DK
59,shh_15.5_04_457_DN,DUHi,15.5,457,15.807,03/05/14,DN,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,-,325,457DN
70,shh_15.5_10_380_DJ,DUHi,15.5,380,15.49,03/14/14,DJ,0,2,0,2,1,1,0_2_2_1,325_0_2_2_1,Y,325,380DJ
113,shh_16.0_02_402_FE,FVB,16,402,16.079,7/31/2014,FE,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,Y,325,402FE
48,shh_16.0_03_437_FE,FVB,16,437,16.238,7/31/2014,FE,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,437FE
34,shh_16.0_04_404_FE,FVB,16,404,16.084,7/31/2014,FE,0,2,1,2,2,1,0_2_2_1,325_0_2_2_1,-,325,404FE
77,shh_16.0_08_456_DO,DUHi,16,456,16.113,3/20/14,DO,0,2,0,2,2,1,0_2_2_1,325_0_2_2_1,-,325,456DO
132,shh_13.5_06_101_DQ,DUHi,13.5,101,13.581,7/30/2014,DQ,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,101DQ
220,shh_13.0_06_102_FX,FVB,13,102,13.091,05/12/15,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,102FX
128,shh_14.0_21_105_DF,DUHi,14,105,13.651,7/17/2014,DF,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,105DF
14,shh_13.5_10_105_FK,FVB,13.5,105,13.62,12/10/14,FK,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,105FK
187,shh_13.5_13_107_DZ,DUHi,13.5,107,13.455,11/19/2014,DZ,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,y,123,107DZ
221,shh_13.0_07_108_FX,FVB,13,108,13.197,05/12/15,FX,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,108FX
129,shh_13.5_06_109_FI,FVB,13.5,109,13.423,10/17/2014,FI,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,109FI
8,shh_13.5_10_110_DZ,DUHi,13.5,110,13.506,11/19/2014,DZ,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,110DZ
222,shh_13.5_14_112_FV,FVB,13.5,112,13.229,4/30/2015,FV,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,y,123,112FV
117,shh_14.0_13_113_DU,DUHi,14,113,13.841,10/14/2014,DU,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,113DU
6,shh_14.0_06_117_DR,DUHi,14,117,13.635,7/30/2014,DR,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,117DR
13,shh_13.5_01_124_FA,FVB,13.5,124,13.38,7/17/2014,FA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,124FA
118,shh_14.0_14_125_DU,DUHi,14,125,14.004,10/14/2014,DU,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,125DU
126,shh_13.5_04_125_FA,FVB,13.5,125,13.394,7/17/2014,FA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,125FA
188,shh_14.0_26_126_DAA,DUHi,14,126,13.955,05/12/14,DAA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,y,123,126DAA
125,shh_13.5_02_127_FA,FVB,13.5,127,13.432,7/17/2014,FA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,127FA
225,shh_13.5_20_127_FV,FVB,13.5,127,13.473,4/30/2015,FV,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,127FV
3,shh_14.0_02_128_DD,DUHi,14,128,14.255,1/20/2014,DD,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,128DD
15,shh_14.0_07_130_FJ,FVB,14,130,14.247,1/20/2014,FJ,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,130FJ
223,shh_13.5_15_132_FV,FVB,13.5,132,13.773,12/08/14,FV,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,132FV
9,shh_13.5_11_135_DZ,DUHi,13.5,135,13.557,4/30/2015,DZ,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,135DZ
235,shh_13.5_21_136_FU,FVB,13.5,136,13.858,11/19/2014,FU,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,136FU
224,shh_13.5_17_137_FV,FVB,13.5,137,13.564,4/29/2015,FV,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,137FV
119,shh_14.0_19_139_DF,DUHi,14,139,13.633,4/30/2015,DF,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,139DF
7,shh_14.0_09_140_DF,DUHi,14,140,14.136,7/17/2014,DF,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,140DF
10,shh_14.0_22_141_DAA,DUHi,14,141,14.138,7/17/2014,DAA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,Y,123,141DAA
4,shh_14.0_03_141_DD,DUHi,14,141,14.156,7/17/2014,DD,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,141DD
181,shh_14.0_08_141_FJ,FVB,14,141,14.155,05/12/14,FJ,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,141FJ
12,shh_14.0_23_142_DAA,DUHi,14,142,14.431,1/20/2014,DAA,2,0,0,0,0,0,2_0_0_0,123_2_0_0_0,-,123,142DAA
167,shh_14.0_20_142_DU,DUHi,14,142,13.932,12/08/14,DU,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,142DU
116,shh_14.0_10_143_DF,DUHi,14,143,14.169,05/12/14,DF,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,143DF
5,shh_14.0_07_143_DR,DUHi,14,143,14.237,10/14/2014,DR,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,143DR
175,shh_13.5_03_143_FA,FVB,13.5,143,14.202,7/17/2014,FA,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,143FA
124,shh_14.0_16_144_DR,DUHi,14,144,14.188,7/17/2014,DR,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,-,145,144DR
182,shh_14.0_09_148_FJ,FVB,14,148,13.98,7/30/2014,FJ,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,Y,162,148FJ
202,shh_15.0_10_151_FAA,FVB,15,151,13.655,7/17/2014,FAA,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,151FAA
123,shh_14.0_11_157_DF,DUHi,14,157,13.988,7/30/2014,DF,2,0,0,0,0,1,2_0_0_1,145_2_0_0_1,Y,145,157DF
158,shh_14.0_10_159_FJ,FVB,14,159,14.031,12/08/14,FJ,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,159FJ
26,shh_14.0_17_161_DR,DUHi,14,161,14.131,5/27/2015,DR,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,161DR
32,shh_14.5_10_161_FR,FVB,14.5,161,14.347,7/17/2014,FR,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,Y,179,161FR
28,shh_14.5_14_163_DH,DUHi,14.5,163,14.178,12/08/14,DH,1,0,0,0,0,1,1_0_0_1,179_1_0_0_1,-,179,163DH
159,shh_14.5_11_163_FR,FVB,14.5,163,14.19,7/30/2014,FR,0,0,0,0,0,1,0_0_0_1,162_0_0_0_1,-,162,163FR
