,ID,Strain,ident,Age,Weight,Clutch,shh_R2_spot,shh_M1_spot,shh_M2_spot,cap_transition,M1_spot_split_LR,shboob,Total_state,stateord,Symmetry,groupwt,nid
110,shh_14.0_28_100_D-,DUHi,NA,14,100,D-,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,y,120,100D-
184,shh_14.0_23_142_DAA,DUHi,51,14,142,DAA,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,-,143,142DAA
186,shh_14.0_24_177_DAA,DUHi,52,14,177,DAA,2,0,0,0,0,1,2_0_0_1,143_2_0_0_1,y,143,177DAA
47,shh_14.0_25_122_DAA,DUHi,47,14,122,DAA,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,122DAA
180,shh_14.0_27_79_DAA,DUHi,46,14,79,DAA,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,79DAA
116,shh_15.0_14_203_DAB,DUHi,146,15,203,DAB,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,203DAB
148,shh_15.5_17_353_DAC,DUHi,190,15.5,353,DAC,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,353DAC
155,shh_15.5_18_361_DAC,DUHi,191,15.5,361,DAC,0,2,0,2,1,1,0_2_2_1,331_0_2_2_1,-,331,361DAC
50,shh_14.5_21_186_DAD,DUHi,93,14.5,186,DAD,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,Y,168,186DAD
93,shh_14.5_23_217_DAD,DUHi,95,14.5,217,DAD,1,1,0,1,0,1,1_1_1_1,216_1_1_1_1,Y,216,217DAD
106,shh_14.5_25_236_DAF,DUHi,108,14.5,236,DAF,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,236DAF
74,shh_14.5_28_223_DAF,DUHi,102,14.5,223,DAF,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,223DAF
147,shh_14.5_29_230_DAF,DUHi,105,14.5,230,DAF,0,1,0,1,0,1,0_1_1_1,211_0_1_1_1,-,211,230DAF
48,shh_13.5_01_101-104_B,DUHi,13,13.5,102.5,DB,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,y,97,102.5DB
69,shh_13.5_02_154-165_B,DUHi,25,13.5,160,DB,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,160DB
66,shh_13.5_03_123-130_B,DUHi,19,13.5,126.5,DB,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,-,120,126.5DB
109,shh_13.5_04_111-117_B,DUHi,16,13.5,114,DB,2,0,0,0,0,0,2_0_0_0,120_2_0_0_0,-,120,114DB
88,shh_13.5_17_154-165_DB,DUHi,26,13.5,159.5,DB,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,-,168,159.5DB
132,shh_13.5_08_111_DC,DUHi,5,13.5,111,DC,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,-,97,111DC
182,shh_14.0_01_93-101_D,DUHi,54,14,97,DD,0,0,0,0,0,0,0_0_0_0,097_0_0_0_0,Y,97,97DD
67,shh_14.0_02_128_D,DUHi,58,14,128,DD,1,0,0,0,0,1,1_0_0_1,168_1_0_0_1,Y,168,128DD
