"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"1","shh_13.5_02_154-165_DB","DUHi",13.5,159.5,"DB",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"159.5DB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","shh_14.0_02_128_DD","DUHi",14,128,"DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,58
"3","shh_14.0_02_128_DD","DUHi",14,128,"DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,59
"4","shh_14.0_03_141_DD","DUHi",14,141,"DD",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"141DD",14,"1/20/2014","DUHi",141,"DD",2,TRUE,14,4.94875989037817,"DD",-1,5.19004842660187,14.4842362635815,14.0338254715892,5.05251396095436,14.2275021121459,14.1355018032706,13.7739116424515,14.4768317782307,"001",14.0617011650884,14.4246365505824,60
"5","shh_14.0_07_143_DR","DUHi",14,143,"DR",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"143DR",14,"7/30/2014","DUHi",143,"DR",4,TRUE,14,4.96284463025991,"DR",-1,4.91933782061152,13.9789036010642,14.0601173085095,4.9441367021111,14.025195414308,14.0428214638934,13.6783510121792,14.403852604832,"001",14.0568433774606,13.9911872406398,74
"6","shh_14.0_06_117_DR","DUHi",14,117,"DR",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"117DR",14,"7/30/2014","DUHi",117,"DR",4,TRUE,14,4.76217393479776,"DR",-1,4.71866712514937,13.6043137084513,13.6855274158967,4.74346600664895,13.6506055216951,13.6702727914276,13.2907741746774,14.0374127075175,"001",13.6837351862112,13.618533529033,72
"7","shh_14.0_09_140_DF","DUHi",14,140,"DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"140DF",14,"7/17/2014","DUHi",140,"DF",5,TRUE,14,4.9416424226093,"DF",-1,5.02437034718343,14.1749667220835,14.0205393687974,4.97721543017618,14.0869431307104,14.0568626882778,13.6944590955125,14.4072631860635,"001",14.0327407437319,14.1559448736792,68
"8","shh_13.5_10_110_DZ","DUHi",13.5,110,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"110DZ",13.5,"11/19/2014","DUHi",110,"DZ",4,TRUE,13.5,4.70048036579242,"DZ",-1.5,4.66510140971196,13.5043231465647,13.5703646745936,4.68526741467782,13.5419668175412,13.5605953936745,13.1901427314416,13.9176716784896,"001",13.5697579163164,13.5164077766534,40
"9","shh_13.5_11_135_DZ","DUHi",13.5,135,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"135DZ",13.5,"11/19/2014","DUHi",135,"DZ",4,TRUE,13.5,4.90527477843843,"DZ",-1.5,4.86989582235798,13.8866107390013,13.9526522670301,4.89006182732384,13.9242544099777,13.9414914200614,13.5859909155108,14.2877749087291,"001",13.9510347746277,13.8975812610603,45
"10","shh_14.0_22_141_DAA","DUHi",14,141,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"141DAA",14,"5/12/2014","DUHi",141,"DAA",2,TRUE,14,4.94875989037817,"DAA",-1,5.02727383910987,14.1803866401559,14.0338254715892,4.9825208883328,14.0968467740729,14.0661371579712,13.7008981045284,14.4091106539761,"001",14.044654802515,14.1560974751214,50
"11","shh_13.5_12_156_DZ","DUHi",13.5,156,"DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"156DZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","shh_14.0_23_142_DAA","DUHi",14,142,"DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"142DAA",14,"5/12/2014","DUHi",142,"DAA",2,TRUE,14,4.95582705760126,"DAA",-1,5.03434100633297,14.193578847444,14.0470176788773,4.98958805555589,14.1100389813609,14.0793815929663,13.7142015872632,14.4215006844717,"001",14.0577268780823,14.1692983489622,51
"13","shh_13.5_01_124_FA","FVB",13.5,124,"FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"124FA",13.5,"7/17/2014","FVB",124,"FA",5,TRUE,13.5,4.82028156560504,"FA",-1.5,4.81557628760185,13.3690726135197,13.3792488353592,4.81825829606367,13.3748730599682,13.3810164184477,12.9434439592902,13.78178425299,"001",13.372721196118,13.3739557371256,278
"14","shh_13.5_10_105_FK","FVB",13.5,105,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105FK",13.5,"12/10/2014","FVB",105,"FK",4,TRUE,13.5,4.65396035015752,"FK",-1.5,4.96383685652918,13.6897194357532,13.0195418034147,4.78720724789734,13.3077181853203,13.1485230685354,12.6777632638912,13.5705288235198,"001",13.0497577576851,13.6096359905839,291
"15","shh_14.0_07_130_FJ","FVB",14,130,"FJ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"130FJ",14,"12/8/2014","FVB",130,"FJ",2,TRUE,14,4.86753445045558,"FJ",-1,5.00520558202987,13.7791886079519,13.4814438254251,4.92673303703253,13.6094740819116,13.5428571466073,13.098090139261,13.9523929174654,"001",13.4896868208095,13.744934375905,370
"16","shh_13.5_11_88_FK","FVB",13.5,88,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"88FK",13.5,"12/10/2014","FVB",88,"FK",4,TRUE,13.5,4.47733681447821,"FK",-1.5,4.78721332084986,13.3077313194458,12.6375536871074,4.61058371221802,12.9257300690129,12.7657744688901,12.271075656088,13.2025474776131,"001",12.6681316707576,13.2294951543455,286
"17","shh_13.5_13_126_FK","FVB",13.5,126,"FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"126FK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","shh_14.0_17_161_DR","DUHi",14,161,"DR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161DR",14,"7/30/2014","DUHi",161,"DR",4,TRUE,14,5.08140436498446,"DR",-1,5.03789755533607,14.2002178203447,14.2814315277901,5.06269643683566,14.2465096335886,14.2624510701569,13.904603942905,14.6203345662916,"001",14.2778338495974,14.212248900186,77
"19","shh_15.0_06_221_DK","DUHi",15,221,"DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"221DK",15,"3/13/2014","DUHi",221,"DK",5,TRUE,15,5.39816270151775,"DK",0,5.28773352222574,14.6665840119429,14.8727210082644,5.35067815442219,14.7840820998462,14.8200306538287,14.4790705430984,15.1695588601704,"001",14.8604144250927,14.6953988049531,174
"20","shh_14.5_14_163_DH","DUHi",14.5,163,"DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"163DH",14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,14.5,5.09375020080676,"DH",-0.5,4.89849575203671,13.9399979292057,14.3044773706534,5.00979078783564,14.1477512108309,14.2217559666086,13.8659885561882,14.5801416844042,"001",14.285464014067,13.986907969257,122
"21","shh_14.0_24_177_DAA","DUHi",14,177,"DAA",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"177DAA",14,"5/12/2014","DUHi",177,"DAA",2,TRUE,14,5.17614973257383,"DAA",-1,5.25466368130553,14.604852885081,14.4582917165143,5.20991073052846,14.521313018998,14.4889135054155,14.130846176146,14.8289776267146,"001",14.4678446346214,14.5793259771535,52
"22","shh_15.0_10_242_DK","DUHi",15,242,"DK",0,2,0,1,1,1,"0_2_1_1","227_0_2_1_1","-",227,"242DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","shh_14.5_17_237-241_DH","DUHi",14.5,239,"DH",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","Y",227,"239DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","shh_14.5_10_161_FR","FVB",14.5,161,"FR",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"161FR",14.5,"3/4/2015","FVB",161,"FR",4,TRUE,14.5,5.08140436498446,"FR",-0.5,5.21787786854864,14.239140254858,13.9439856122344,5.14008797151706,14.0709021085626,13.9997462439673,13.5750582594033,14.4056637213951,"001",13.9546267605957,14.2071658363808,448
"25","shh_14.5_02_228_DG","DUHi",14.5,228,"DG",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"228DG",14.5,"12/17/2013","DUHi",228,"DG",3,TRUE,14.5,5.42934562895444,"DG",-0.5,5.19480158258798,14.4931089302472,14.9309298534222,5.32849168901686,14.742666856457,14.8301071737391,14.4855667370355,15.1903958278311,"001",14.9057195537137,14.5465900192216,115
"26","shh_16.0_04_404_FE","FVB",16,404,"FE",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"404FE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","shh_15.0_07_234_DK","DUHi",15,234,"DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"234DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","shh_16.5_01_246_DW","DUHi",16.5,246,"DW",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","Y",235,"246DW",16.5,"9/25/2014","DUHi",246,"DW",5,TRUE,16.5,5.50533153593236,"DW",1.5,6.03762547290469,16.0663994888822,15.0727719528349,5.73421792883046,15.5000317933352,15.2891709359239,14.9197506061975,15.6617657703709,"001",15.1290155317227,15.9247867557462,241
