"","X","ID","Strain.x","ident","Age","Weight.x","mediantemps","Date.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date.y","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"1",1,"shh_13.5_01_101-104_DB","DUHi",13,13.5,102.5,13.129,"1/20/2014","DB",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"102.5DB",13.5,"1/20/2014","DUHi",102,"DB",2,FALSE,13.5,4.62497281328427,"DB",-1.5,4.43624417213138,13.0771177299913,13.4294155144766,4.54381949758853,13.2779274671479,13.3538776821549,12.972381581851,13.7369182476042,"001",13.4115477809194,13.1245620665583,"102DB"
"2",2,"shh_13.5_02_154-165_DB","DUHi",26,13.5,159.5,13.88,"1/20/2014","DB",2,0,0,0,0,1,"2_0_0_1","145_2_0_0_1","Y",145,"159.5DB",13.5,"1/20/2014","DUHi",156,"DB",2,FALSE,13.5,5.04985600724954,"DB",-1.5,4.86112736609664,13.8702427532236,14.2225405377089,4.96870269155379,14.0710524903802,14.143431855632,13.7894860877242,14.4999756809226,"001",14.2031987162759,13.9156946277404,"156DB"
"3",3,"shh_13.5_03_123-130_DB","DUHi",18,13.5,126.5,13.49,"1/20/2014","DB",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"126.5DB",13.5,"1/20/2014","DUHi",123,"DB",2,FALSE,13.5,4.81218435537242,"DB",-1.5,4.62345571421952,13.4265835614879,13.7788813459732,4.73103103967667,13.6273932986445,13.7016943410116,13.3363984915175,14.0701457649715,"001",13.760366613158,13.472871445366,"123DB"
"4",4,"shh_13.5_04_111-117_DB","DUHi",15,13.5,114,13.3,"1/20/2014","DB",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"114DB",13.5,"1/20/2014","DUHi",111,"DB",2,FALSE,13.5,4.70953020131233,"DB",-1.5,4.52080156015944,13.2349601236109,13.5872579080962,4.62837688561659,13.4357698607675,13.5108285872859,13.1381185084742,13.8851292327521,"001",13.568956805007,13.2818147659301,"111DB"
"5",5,"shh_13.5_07_72_DC","DUHi",28,13.5,72,13.03,"7/30/2014","DC",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"72DC",13.5,"7/30/2014","DUHi",67,"DQ",4,TRUE,13.5,4.20469261939097,"DQ",-1.5,4.31396247068026,12.8488557542723,12.6448828634323,4.25167865544536,12.7325912064935,12.6946649484803,12.2762610704139,13.0863898158173,"001",12.6630594613393,12.8297512385671,"67DQ"
"6",6,"shh_13.5_08_111_DC","DUHi",15,13.5,111,13.769,"7/30/2014","DC",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"111DC",13.5,"1/20/2014","DUHi",111,"DB",2,FALSE,13.5,4.70953020131233,"DB",-1.5,4.52080156015944,13.2349601236109,13.5872579080962,4.62837688561659,13.4357698607675,13.5108285872859,13.1381185084742,13.8851292327521,"001",13.568956805007,13.2818147659301,"111DB"
"7",7,"shh_13.5_12_156_DZ","DUHi",16,13.5,156,13.863,"1/20/2014","DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"156DZ",13.5,"1/20/2014","DUHi",115,"DB",2,FALSE,13.5,4.74493212836325,"DB",-1.5,4.55620348721036,13.3010445313105,13.6533423157958,4.66377881266751,13.5018542684671,13.576417462989,13.2061711258785,13.948018697004,"001",13.6348937231516,13.3477130797411,"115DB"
"8",8,"shh_13.5_13_126_FK","FVB",315,13.5,126,13.46,"4/30/2015","FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"126FK",13.5,"4/30/2015","FVB",126,"FV",5,TRUE,13.5,4.83628190695148,"FV",-1.5,4.86233913048889,13.4702077776353,13.4138531717954,4.84748651307257,13.4380856523066,13.4262097286045,12.9890739269463,13.8262331647395,"001",13.4102007759254,13.4609888894918,"126FV"
"9",9,"shh_13.5_14_89_DC","DUHi",30,13.5,89,13.375,"7/30/2014","DC",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"89DC",13.5,"7/30/2014","DUHi",91,"DQ",4,FALSE,13.5,4.51085950651685,"DQ",-1.5,4.62012935780614,13.4203742866916,13.2164013958517,4.55784554257124,13.3041097389129,13.2632892175773,12.8781598206456,13.6299288538771,"001",13.2339896294077,13.399438799406,"91DQ"
"10",10,"shh_13.5_16_95_DC","DUHi",31,13.5,95,13.464,"7/30/2014","DC",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"95DC",13.5,"7/30/2014","DUHi",101,"DQ",4,TRUE,13.5,4.61512051684126,"DQ",-1.5,4.72439036813055,13.6149972263849,13.4110243355449,4.66210655289565,13.4987326786061,13.4568794524308,13.0802209880492,13.816477626854,"001",13.4284214650383,13.5931075088057,"101DQ"
